"","lifestage","interaction","regression.slope","regression.intercept","R2","F.statistic.value","p-value"
"1","juvenile","predacious/piscivorous","89.8984312239248","1696.49819641685","0.263342856149615","56.8398942131116","3.3935216101191e-12"
"2","larva","predacious/piscivorous","192.6523485918","0.00284269338714193","0.156117889238528","29.4149432395565","2.13648252713572e-07"
"3","larva / juvenile","predacious/piscivorous","107.431494334777","3.10442130924038","0.300761768889771","68.3903126657486","5.04760790157903e-14"
"4","postlarva/juvenile","predacious/piscivorous","1539.82687617748","0.202535126918671","0.0529673593574245","8.89284041162106","0.00331396867952936"
"5","postlarva","predacious/piscivorous","-0.00489536834697317","0.0935866248751345","0.0098132707830974","0.55498942536633","0.45940138809844"
"6","adult","piscivorous","68.4797466270206","19950.5064363075","0.0292541578577191","527.556508845875","4.79966380034731e-115"
"7","juvenile","piscivorous","40.3443351578193","4235.33928998002","0.0126151003499771","38.2777179010209","6.97038480983841e-10"
"8","larva","piscivorous","-0.140594729761912","0.194403838057946","0.000143299753083874","0.272881833771096","0.601465903545451"
"9","larva / juvenile","piscivorous","39.3036895451169","1.30360395657598","0.0337602757962064","14.9891977671556","0.000124969983572301"
"10","postlarva/juvenile","piscivorous","1.76936375358525","0.54120221193091","0.0420894381201384","26.7587276257415","3.13272240567439e-07"
"11","postlarva","piscivorous","1.06991364576298","0.0940526878982029","0.241883062454347","14.3575974515015","0.00044650031344568"
"12","adult","planktivorous","-3.36767556045895","4685.0931033002","0.00173064311230296","1.58628373878389","0.208179063374399"
"13","juvenile","planktivorous","6261.84875136312","957.20829990929","0.677784544028615","269.249721041833","2.82966139774693e-33"
"14","larva","planktivorous",NA,NA,NA,NA,NA
"15","larva / juvenile","planktivorous",NA,NA,NA,NA,NA
"16","postlarva/juvenile","planktivorous",NA,NA,NA,NA,NA
"17","postlarva","planktivorous",NA,NA,NA,NA,NA
"18","adult","predacious","75.831662118112","12323.896848621","0.0566489678227353","440.172237032782","5.88229911148314e-95"
"19","juvenile","predacious","50.13459332517","3441.69124222984","0.0143075030495114","26.736959750363","2.58461609477989e-07"
"20","larva","predacious","-4.92495710724704","0.677011850431081","0.0171780378681348","2.90139455158795","0.0903743633096423"
"21","larva / juvenile","predacious","1.40173560361063","0.217109364661072","0.00824889297823701","0.449145171274332","0.505597232862066"
"22","postlarva/juvenile","predacious","2762.7939317636","0.235685730606127","0.106523379560137","9.53787728728213","0.00276681367116506"
"23","postlarva","predacious",NA,NA,NA,NA,NA
"24","adult","insectivorous","0.633976386895989","2282.79883892316","0.0145190398692834","0.441988443917503","0.511242931732519"
"25","juvenile","insectivorous",NA,NA,NA,NA,NA
"26","larva","insectivorous",NA,NA,NA,NA,NA
"27","larva / juvenile","insectivorous",NA,NA,NA,NA,NA
"28","postlarva/juvenile","insectivorous",NA,NA,NA,NA,NA
"29","postlarva","insectivorous",NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA
